,airline,year,cost,output,pf,lf
1,1,1,1140640,0.952757,106650,0.5344869999999999
2,1,2,1215690,0.986757,110307,0.532328
3,1,3,1309570,1.09198,110574,0.547736
4,1,4,1511530,1.1757799999999998,121974,0.540846
5,1,5,1676730,1.1601700000000001,196606,0.591167
6,1,6,1823740,1.1737600000000001,265609,0.575417
7,1,7,2022890,1.29051,263451,0.594495
8,1,8,2314760,1.39067,316411,0.597409
9,1,9,2639160,1.61273,384110,0.638522
10,1,10,3247620,1.8254400000000002,569251,0.676287
11,1,11,3787750,1.5460399999999999,871636,0.605735
12,1,12,3867750,1.5279,997239,0.61436
13,1,13,3996020,1.6602,938002,0.633366
14,1,14,4282880,1.8223099999999999,859572,0.6501170000000001
15,1,15,4748320,1.9364599999999998,823411,0.625603
16,2,1,569292,0.5206350000000001,103795,0.49085100000000004
17,2,2,640614,0.5346270000000001,111477,0.47344899999999995
18,2,3,777655,0.655192,118664,0.503013
19,2,4,999294,0.791575,114797,0.512501
20,2,5,1203970,0.842945,215322,0.566782
21,2,6,1358100,0.852892,281704,0.558133
22,2,7,1501350,0.9228430000000001,304818,0.5587989999999999
23,2,8,1709270,1.0,348609,0.57207
24,2,9,2025400,1.19845,374579,0.624763
25,2,10,2548370,1.34067,544109,0.628706
26,2,11,3137740,1.3262399999999999,853356,0.58915
27,2,12,3557700,1.24852,1003200,0.532612
28,2,13,3717740,1.25432,941977,0.526652
29,2,14,3962370,1.3717700000000002,856533,0.5401630000000001
30,2,15,4209390,1.38974,821361,0.528775
31,3,1,286298,0.262424,118788,0.524334
32,3,2,309290,0.266433,123798,0.537185
33,3,3,342056,0.306043,122882,0.5821189999999999
34,3,4,374595,0.325586,131274,0.579489
35,3,5,450037,0.345706,222037,0.606592
36,3,6,510412,0.367517,278721,0.60727
37,3,7,575347,0.409937,306564,0.582425
38,3,8,669331,0.44802299999999995,356073,0.573972
39,3,9,783799,0.5395949999999999,378311,0.6542560000000001
40,3,10,913883,0.5393819999999999,555267,0.631055
41,3,11,1041520,0.467967,850322,0.56924
42,3,12,1125800,0.45054399999999994,1015610,0.5896819999999999
43,3,13,1096070,0.468793,954508,0.587953
44,3,14,1198930,0.49439700000000003,886999,0.565388
45,3,15,1170470,0.493317,844079,0.577078
46,4,1,145167,0.086393,114987,0.432066
47,4,2,170192,0.09673999999999999,120501,0.439669
48,4,3,247506,0.1415,121908,0.488932
49,4,4,309391,0.169715,127220,0.48418100000000003
50,4,5,354338,0.173805,209405,0.529925
51,4,6,373941,0.164272,263148,0.532723
52,4,7,420915,0.170906,316724,0.549067
53,4,8,474017,0.17784,363598,0.55714
54,4,9,532590,0.192248,389436,0.6113770000000001
55,4,10,676771,0.24246900000000002,547376,0.645319
56,4,11,880438,0.25650500000000004,850418,0.611734
57,4,12,1052020,0.24965700000000002,1011170,0.5808840000000001
58,4,13,1193680,0.273923,951934,0.572047
59,4,14,1303390,0.371131,881323,0.5945699999999999
60,4,15,1436970,0.421411,831374,0.585525
61,5,1,91361,0.051028,118222,0.442875
62,5,2,95428,0.052646000000000005,116223,0.46247299999999997
63,5,3,98187,0.056348,115853,0.5191180000000001
64,5,4,115967,0.066953,129372,0.529331
65,5,5,138382,0.07030800000000001,243266,0.557797
66,5,6,156228,0.073961,277930,0.556181
67,5,7,183169,0.08494600000000001,317273,0.569327
68,5,8,210212,0.095474,358794,0.583465
69,5,9,274024,0.119814,397667,0.631818
70,5,10,356915,0.150046,566672,0.604723
71,5,11,432344,0.144014,848393,0.587921
72,5,12,524294,0.1693,1005740,0.616159
73,5,13,530924,0.172761,958231,0.6058680000000001
74,5,14,581447,0.18667,872924,0.594688
75,5,15,610257,0.213279,844622,0.635545
76,6,1,68978,0.037682,117112,0.448539
77,6,2,74904,0.039784,119420,0.475889
78,6,3,83829,0.044331,116087,0.500562
79,6,4,98148,0.050245,122997,0.500344
80,6,5,118449,0.055046000000000005,194309,0.5288970000000001
81,6,6,133161,0.052462,307923,0.49536099999999994
82,6,7,145062,0.056977,323595,0.510342
83,6,8,170711,0.061489999999999996,363081,0.518296
84,6,9,199775,0.069027,386422,0.546723
85,6,10,276797,0.092749,564867,0.554276
86,6,11,381478,0.11264,874818,0.517766
87,6,12,506969,0.15415399999999999,1013170,0.5800489999999999
88,6,13,633388,0.186461,930477,0.556024
89,6,14,804388,0.24684699999999998,851676,0.537791
90,6,15,1009500,0.30401300000000003,819476,0.525775
